ticker,symbol,yearReport,lengthReport,risk_score,risk_label,risk_reasoning,high_risk_count,medium_risk_count,composite_rules_count,high_risk_indicators,medium_risk_indicators,composite_rules_activated,risk_types_detected,high_risk_details,composite_risk_details
HPG,HPG,2025,4,0.95,High,"Các chỉ số có rủi ro cao: A2 (Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh.), A3 (Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn.), B3 (Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay.) | Phát hiện 3 vấn đề phức hợp: working_capital_risk - Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động.; asset_utilization_risk - Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản.",8,2,3,"A2, A3, B3, C1, C2, C3, D2, D3","A1, D1","R6, R7, R12","asset_utilization_risk, working_capital_risk, working_capital_inefficiency","A2: Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh. | A3: Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn. | B3: Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay. | C1: Inventory turnover thấp cho thấy hàng tồn kho quay vòng chậm, có nguy cơ ứ đọng. | C2: Receivable ratio cao cho thấy doanh nghiệp gặp khó khăn trong thu hồi công nợ. | C3: Fixed asset turnover thấp cho thấy tài sản cố định chưa được tận dụng hiệu quả. | D2: Basic earning power thấp cho thấy doanh nghiệp không tạo ra lợi nhuận hiệu quả từ tài sản. | D3: ROA thấp cho thấy doanh nghiệp có hiệu quả sinh lợi kém.",R6 (working_capital_risk): Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động. | R7 (asset_utilization_risk): Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản. | R12 (working_capital_inefficiency): Hàng tồn kho quay vòng chậm kết hợp với khoản phải thu cao cho thấy doanh nghiệp quản lý vốn lưu động kém hiệu quả.
HPG,HPG,2025,3,0.9083,High,"Các chỉ số có rủi ro cao: A2 (Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh.), A3 (Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn.), B3 (Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay.) | Phát hiện 3 vấn đề phức hợp: working_capital_risk - Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động.; asset_utilization_risk - Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản.",8,1,3,"A2, A3, B3, C1, C2, C3, D2, D3",A1,"R6, R7, R12","asset_utilization_risk, working_capital_risk, working_capital_inefficiency","A2: Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh. | A3: Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn. | B3: Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay. | C1: Inventory turnover thấp cho thấy hàng tồn kho quay vòng chậm, có nguy cơ ứ đọng. | C2: Receivable ratio cao cho thấy doanh nghiệp gặp khó khăn trong thu hồi công nợ. | C3: Fixed asset turnover thấp cho thấy tài sản cố định chưa được tận dụng hiệu quả. | D2: Basic earning power thấp cho thấy doanh nghiệp không tạo ra lợi nhuận hiệu quả từ tài sản. | D3: ROA thấp cho thấy doanh nghiệp có hiệu quả sinh lợi kém.",R6 (working_capital_risk): Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động. | R7 (asset_utilization_risk): Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản. | R12 (working_capital_inefficiency): Hàng tồn kho quay vòng chậm kết hợp với khoản phải thu cao cho thấy doanh nghiệp quản lý vốn lưu động kém hiệu quả.
HPG,HPG,2025,2,0.9083,High,"Các chỉ số có rủi ro cao: A2 (Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh.), A3 (Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn.), B3 (Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay.) | Phát hiện 3 vấn đề phức hợp: working_capital_risk - Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động.; asset_utilization_risk - Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản.",8,1,3,"A2, A3, B3, C1, C2, C3, D2, D3",A1,"R6, R7, R12","asset_utilization_risk, working_capital_risk, working_capital_inefficiency","A2: Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh. | A3: Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn. | B3: Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay. | C1: Inventory turnover thấp cho thấy hàng tồn kho quay vòng chậm, có nguy cơ ứ đọng. | C2: Receivable ratio cao cho thấy doanh nghiệp gặp khó khăn trong thu hồi công nợ. | C3: Fixed asset turnover thấp cho thấy tài sản cố định chưa được tận dụng hiệu quả. | D2: Basic earning power thấp cho thấy doanh nghiệp không tạo ra lợi nhuận hiệu quả từ tài sản. | D3: ROA thấp cho thấy doanh nghiệp có hiệu quả sinh lợi kém.",R6 (working_capital_risk): Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động. | R7 (asset_utilization_risk): Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản. | R12 (working_capital_inefficiency): Hàng tồn kho quay vòng chậm kết hợp với khoản phải thu cao cho thấy doanh nghiệp quản lý vốn lưu động kém hiệu quả.
HPG,HPG,2025,1,0.95,High,"Các chỉ số có rủi ro cao: A2 (Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh.), A3 (Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn.), B3 (Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay.) | Phát hiện 3 vấn đề phức hợp: working_capital_risk - Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động.; asset_utilization_risk - Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản.",8,2,3,"A2, A3, B3, C1, C2, C3, D2, D3","A1, D1","R6, R7, R12","asset_utilization_risk, working_capital_risk, working_capital_inefficiency","A2: Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh. | A3: Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn. | B3: Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay. | C1: Inventory turnover thấp cho thấy hàng tồn kho quay vòng chậm, có nguy cơ ứ đọng. | C2: Receivable ratio cao cho thấy doanh nghiệp gặp khó khăn trong thu hồi công nợ. | C3: Fixed asset turnover thấp cho thấy tài sản cố định chưa được tận dụng hiệu quả. | D2: Basic earning power thấp cho thấy doanh nghiệp không tạo ra lợi nhuận hiệu quả từ tài sản. | D3: ROA thấp cho thấy doanh nghiệp có hiệu quả sinh lợi kém.",R6 (working_capital_risk): Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động. | R7 (asset_utilization_risk): Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản. | R12 (working_capital_inefficiency): Hàng tồn kho quay vòng chậm kết hợp với khoản phải thu cao cho thấy doanh nghiệp quản lý vốn lưu động kém hiệu quả.
HPG,HPG,2024,4,0.775,High,"Các chỉ số có rủi ro cao: A2 (Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh.), A3 (Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn.), B3 (Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay.) | Phát hiện 1 vấn đề phức hợp: asset_utilization_risk - Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản.",7,3,1,"A2, A3, B3, C1, C3, D2, D3","A1, C2, D1",R7,asset_utilization_risk,"A2: Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh. | A3: Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn. | B3: Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay. | C1: Inventory turnover thấp cho thấy hàng tồn kho quay vòng chậm, có nguy cơ ứ đọng. | C3: Fixed asset turnover thấp cho thấy tài sản cố định chưa được tận dụng hiệu quả. | D2: Basic earning power thấp cho thấy doanh nghiệp không tạo ra lợi nhuận hiệu quả từ tài sản. | D3: ROA thấp cho thấy doanh nghiệp có hiệu quả sinh lợi kém.",R7 (asset_utilization_risk): Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản.
HPG,HPG,2024,3,0.95,High,"Các chỉ số có rủi ro cao: A2 (Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh.), A3 (Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn.), B3 (Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay.) | Phát hiện 3 vấn đề phức hợp: working_capital_risk - Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động.; asset_utilization_risk - Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản.",8,2,3,"A2, A3, B3, C1, C2, C3, D2, D3","A1, D1","R6, R7, R12","asset_utilization_risk, working_capital_risk, working_capital_inefficiency","A2: Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh. | A3: Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn. | B3: Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay. | C1: Inventory turnover thấp cho thấy hàng tồn kho quay vòng chậm, có nguy cơ ứ đọng. | C2: Receivable ratio cao cho thấy doanh nghiệp gặp khó khăn trong thu hồi công nợ. | C3: Fixed asset turnover thấp cho thấy tài sản cố định chưa được tận dụng hiệu quả. | D2: Basic earning power thấp cho thấy doanh nghiệp không tạo ra lợi nhuận hiệu quả từ tài sản. | D3: ROA thấp cho thấy doanh nghiệp có hiệu quả sinh lợi kém.",R6 (working_capital_risk): Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động. | R7 (asset_utilization_risk): Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản. | R12 (working_capital_inefficiency): Hàng tồn kho quay vòng chậm kết hợp với khoản phải thu cao cho thấy doanh nghiệp quản lý vốn lưu động kém hiệu quả.
HPG,HPG,2024,2,0.95,High,"Các chỉ số có rủi ro cao: A2 (Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh.), A3 (Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn.), B3 (Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay.) | Phát hiện 3 vấn đề phức hợp: working_capital_risk - Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động.; asset_utilization_risk - Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản.",8,2,3,"A2, A3, B3, C1, C2, C3, D2, D3","A1, D1","R6, R7, R12","asset_utilization_risk, working_capital_risk, working_capital_inefficiency","A2: Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh. | A3: Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn. | B3: Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay. | C1: Inventory turnover thấp cho thấy hàng tồn kho quay vòng chậm, có nguy cơ ứ đọng. | C2: Receivable ratio cao cho thấy doanh nghiệp gặp khó khăn trong thu hồi công nợ. | C3: Fixed asset turnover thấp cho thấy tài sản cố định chưa được tận dụng hiệu quả. | D2: Basic earning power thấp cho thấy doanh nghiệp không tạo ra lợi nhuận hiệu quả từ tài sản. | D3: ROA thấp cho thấy doanh nghiệp có hiệu quả sinh lợi kém.",R6 (working_capital_risk): Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động. | R7 (asset_utilization_risk): Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản. | R12 (working_capital_inefficiency): Hàng tồn kho quay vòng chậm kết hợp với khoản phải thu cao cho thấy doanh nghiệp quản lý vốn lưu động kém hiệu quả.
HPG,HPG,2024,1,0.95,High,"Các chỉ số có rủi ro cao: A2 (Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh.), A3 (Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn.), B3 (Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay.) | Phát hiện 3 vấn đề phức hợp: working_capital_risk - Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động.; asset_utilization_risk - Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản.",8,2,3,"A2, A3, B3, C1, C2, C3, D2, D3","A1, D1","R6, R7, R12","asset_utilization_risk, working_capital_risk, working_capital_inefficiency","A2: Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh. | A3: Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn. | B3: Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay. | C1: Inventory turnover thấp cho thấy hàng tồn kho quay vòng chậm, có nguy cơ ứ đọng. | C2: Receivable ratio cao cho thấy doanh nghiệp gặp khó khăn trong thu hồi công nợ. | C3: Fixed asset turnover thấp cho thấy tài sản cố định chưa được tận dụng hiệu quả. | D2: Basic earning power thấp cho thấy doanh nghiệp không tạo ra lợi nhuận hiệu quả từ tài sản. | D3: ROA thấp cho thấy doanh nghiệp có hiệu quả sinh lợi kém.",R6 (working_capital_risk): Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động. | R7 (asset_utilization_risk): Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản. | R12 (working_capital_inefficiency): Hàng tồn kho quay vòng chậm kết hợp với khoản phải thu cao cho thấy doanh nghiệp quản lý vốn lưu động kém hiệu quả.
HPG,HPG,2023,4,0.95,High,"Các chỉ số có rủi ro cao: A2 (Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh.), A3 (Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn.), B3 (Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay.) | Phát hiện 3 vấn đề phức hợp: working_capital_risk - Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động.; asset_utilization_risk - Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản.",8,2,3,"A2, A3, B3, C1, C2, C3, D2, D3","A1, D1","R6, R7, R12","asset_utilization_risk, working_capital_risk, working_capital_inefficiency","A2: Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh. | A3: Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn. | B3: Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay. | C1: Inventory turnover thấp cho thấy hàng tồn kho quay vòng chậm, có nguy cơ ứ đọng. | C2: Receivable ratio cao cho thấy doanh nghiệp gặp khó khăn trong thu hồi công nợ. | C3: Fixed asset turnover thấp cho thấy tài sản cố định chưa được tận dụng hiệu quả. | D2: Basic earning power thấp cho thấy doanh nghiệp không tạo ra lợi nhuận hiệu quả từ tài sản. | D3: ROA thấp cho thấy doanh nghiệp có hiệu quả sinh lợi kém.",R6 (working_capital_risk): Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động. | R7 (asset_utilization_risk): Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản. | R12 (working_capital_inefficiency): Hàng tồn kho quay vòng chậm kết hợp với khoản phải thu cao cho thấy doanh nghiệp quản lý vốn lưu động kém hiệu quả.
HPG,HPG,2023,3,0.95,High,"Các chỉ số có rủi ro cao: A2 (Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh.), A3 (Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn.), B3 (Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay.) | Phát hiện 3 vấn đề phức hợp: working_capital_risk - Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động.; asset_utilization_risk - Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản.",8,2,3,"A2, A3, B3, C1, C2, C3, D2, D3","A1, D1","R6, R7, R12","asset_utilization_risk, working_capital_risk, working_capital_inefficiency","A2: Quick ratio thấp cho thấy doanh nghiệp có nguy cơ khó khăn trong thanh toán nhanh. | A3: Cash ratio thấp cho thấy doanh nghiệp thiếu tiền mặt để thanh toán nợ ngắn hạn. | B3: Interest coverage ratio thấp cho thấy doanh nghiệp gặp khó khăn trong việc trả lãi vay. | C1: Inventory turnover thấp cho thấy hàng tồn kho quay vòng chậm, có nguy cơ ứ đọng. | C2: Receivable ratio cao cho thấy doanh nghiệp gặp khó khăn trong thu hồi công nợ. | C3: Fixed asset turnover thấp cho thấy tài sản cố định chưa được tận dụng hiệu quả. | D2: Basic earning power thấp cho thấy doanh nghiệp không tạo ra lợi nhuận hiệu quả từ tài sản. | D3: ROA thấp cho thấy doanh nghiệp có hiệu quả sinh lợi kém.",R6 (working_capital_risk): Khoản phải thu cao kết hợp với tiền mặt thấp cho thấy doanh nghiệp gặp vấn đề về vốn lưu động. | R7 (asset_utilization_risk): Tài sản cố định không được tận dụng hiệu quả kết hợp với khả năng sinh lợi thấp cho thấy doanh nghiệp cần tối ưu hóa sử dụng tài sản. | R12 (working_capital_inefficiency): Hàng tồn kho quay vòng chậm kết hợp với khoản phải thu cao cho thấy doanh nghiệp quản lý vốn lưu động kém hiệu quả.
